"Player","Born","minAge","MP","Starts","Min","Full90s","G","A","NPG","PK","G90","NPG90","A90","NPG+A90","Over27"
"Aitor Ruibal",1996,21,69,40,3389,37.699999999999996,2,2,2,0,0.053113012688108585,0.053113012688108585,0.053113012688108585,0.10622602537621717,""
"Aitor Tornavaca",1976,30,103,90,7524,83.6,4,10,4,0,0.04784688995215312,0.04784688995215312,0.11961722488038277,0.1674641148325359,"*"
"Ajdin Hrustic",1996,24,25,7,871,9.7,3,0,3,0,0.3099885189437428,0.3099885189437428,0,0.3099885189437428,""
"Akaki Gogia",1992,19,22,5,780,8.7,0,2,0,0,0,0,0.23076923076923078,0.23076923076923078,""
"Akande Ajide",1985,17,1,0,2,0,0,0,0,0,0,0,0,0,""
"Akeem Omolade",1983,19,5,1,162,1.8,0,0,0,0,0,0,0,0,""
"Aki Riihilahti",1976,27,31,28,2237,24.9,4,4,4,0,0.16092981671881984,0.16092981671881984,0.16092981671881984,0.3218596334376397,"*"
"Akihiro Ienaga",1986,24,18,4,637,7,2,0,2,0,0.282574568288854,0.282574568288854,0,0.282574568288854,""
"Akim Zedadka",1995,18,26,26,2328,25.9,0,3,0,0,0,0,0.11597938144329897,0.11597938144329897,""
"Akin Famewo",1998,20,1,0,1,0,0,0,0,0,0,0,0,0,""
"Akinori Nishizawa",1976,24,6,2,180,2,0,0,0,0,0,0,0,0,""
"Akis Zikos",1974,28,101,96,8510,94.6,2,6,2,0,0.021151586368977675,0.021151586368977675,0.06345475910693302,0.0846063454759107,"*"
"Ákos Buzsáky",1982,29,18,10,900,10,2,2,2,0,0.2,0.2,0.2,0.4,"*"
"Akram Afif",1996,19,9,2,234,2.6,0,0,0,0,0,0,0,0,""
"Al-Saadi Gaddafi",1973,30,2,0,25,0.30000000000000004,0,0,0,0,0,0,0,0,"*"
"Al Bangura",1988,18,16,12,1085,12.1,0,0,0,0,0,0,0,0,""
"Alaeddine Yahia",1981,19,216,189,16826,186.8,9,1,9,0,0.04813978366813265,0.04813978366813265,0.005348864852014739,0.05348864852014739,""
"Alain Boghossian",1970,27,72,58,4960,55.1,6,2,6,0,0.10887096774193548,0.10887096774193548,0.036290322580645164,0.14516129032258066,"*"
"Alain Cantareil",1983,21,42,18,2038,22.5,0,1,0,0,0,0,0.04416094210009813,0.04416094210009813,""
"Alain Caveglia",1968,31,23,12,1224,13.6,2,1,2,0,0.14705882352941177,0.14705882352941177,0.07352941176470588,0.22058823529411764,"*"
"Alain Goma",1972,26,147,144,12671,140.8,1,2,1,0,0.007102833241259569,0.007102833241259569,0.014205666482519138,0.021308499723778705,""
"Alain Liri",1979,23,23,5,721,8,5,2,4,1,0.6241331484049931,0.49930651872399445,0.24965325936199723,0.7489597780859917,""
"Alain Masudi",1978,21,8,5,387,4.3,1,0,1,0,0.23255813953488372,0.23255813953488372,0,0.23255813953488372,""
"Alain Nef",1982,26,10,8,736,8.2,0,1,0,0,0,0,0.12228260869565218,0.12228260869565218,""
"Alain Rochat",1983,22,9,4,334,3.7,0,0,0,0,0,0,0,0,""
"Alain Roche",1967,30,77,71,6333,70.4,2,1,2,0,0.028422548555187117,0.028422548555187117,0.014211274277593559,0.04263382283278068,"*"
"Alain Traoré",1988,17,98,77,6378,71,22,10,22,0,0.3104421448730009,0.3104421448730009,0.14111006585136407,0.451552210724365,""
"Alaixys Romao",1984,24,313,297,26391,293.3,6,10,6,0,0.020461520973059,0.020461520973059,0.03410253495509833,0.05456405592815733,""
"Alan Baró",1985,24,1,0,2,0,0,0,0,0,0,0,0,0,""
"Alan Blayney",1981,21,3,3,270,3,0,0,0,0,0,0,0,0,""
"Alan Cork",1959,33,46,18,1836,20.4,5,3,5,0,0.2450980392156863,0.2450980392156863,0.14705882352941177,0.3921568627450981,"*"
"Alan Empereur",1994,25,17,12,1074,11.9,0,0,0,0,0,0,0,0,""
"Alan Fettis",1971,25,14,14,1260,14,0,0,0,0,0,0,0,0,""
"Alan Harper",1960,31,18,16,1340,14.9,0,1,0,0,0,0,0.06716417910447761,0.06716417910447761,"*"
"Alan Hutton",1984,22,168,149,13518,150.2,3,6,3,0,0.019973368841544607,0.019973368841544607,0.03994673768308921,0.05992010652463382,""
"Alan Kelly Jr.",1968,23,66,64,5897,65.5,0,1,0,0,0,0,0.015261997625911482,0.015261997625911482,""
"Alan Kernaghan",1967,25,74,67,6223,69.1,3,2,3,0,0.04338743371364294,0.04338743371364294,0.028924955809095293,0.07231238952273823,""
"Alan Kimble",1966,26,181,168,14935,166,0,24,0,0,0,0,0.14462671576832942,0.14462671576832942,""
"Alan Mahon",1978,23,24,16,1429,15.9,2,1,2,0,0.12596221133659902,0.12596221133659902,0.06298110566829951,0.18894331700489853,""
"Alan Maybury",1978,16,14,10,842,9.399999999999999,0,0,0,0,0,0,0,0,""
"Alan McCarthy",1972,21,6,4,384,4.3,0,0,0,0,0,0,0,0,""
"Alan McDonald",1963,28,116,115,10235,113.7,3,8,3,0,0.026380068392769906,0.026380068392769906,0.07034684904738642,0.09672691744015632,"*"
"Alan Miller",1970,22,25,22,2172,24.1,0,0,0,0,0,0,0,0,""
"Alan Moore",1974,17,35,18,1650,18.3,0,0,0,0,0,0,0,0,""
"Alan Neilson",1972,20,72,54,5222,58.1,0,6,0,0,0,0,0.10340865568747606,0.10340865568747606,""
"Alan O'Brien",1985,20,5,1,163,1.9,0,0,0,0,0,0,0,0,""
"Alan Quinn",1979,18,40,30,2581,28.7,3,3,3,0,0.10461061604029447,0.10461061604029447,0.10461061604029447,0.20922123208058893,""
"Alan Reeves",1967,26,59,54,4803,53.3,4,5,4,0,0.07495315427857589,0.07495315427857589,0.09369144284821987,0.16864459712679575,""
"Alan Rogers",1977,21,53,48,4333,48.1,4,3,4,0,0.0830833141010847,0.0830833141010847,0.06231248557581352,0.14539579967689822,""
"Alan Shearer",1970,21,441,427,38418,426.7,260,67,204,56,0.6090894893018897,0.47790098391379043,0.15695767608933311,0.6348586600031235,""
"Alan Smith",1962,29,75,65,5787,64.3,9,9,9,0,0.13996889580093314,0.13996889580093314,0.13996889580093314,0.27993779160186627,"*"
"Alan Smith",1980,17,284,228,20508,227.8,46,31,45,1,0.20187244002340549,0.19748390871854885,0.13604447045055587,0.3335283791691047,""
"Alan Stubbs",1971,23,213,201,17707,196.6,11,3,11,0,0.055910092053989946,0.055910092053989946,0.015248206923815441,0.07115829897780539,""
"Alan Tate",1982,28,8,3,327,3.6,0,0,0,0,0,0,0,0,"*"
"Alan Thompson",1973,21,105,92,8084,89.8,14,14,10,4,0.15586343394359228,0.11133102424542304,0.15586343394359228,0.2671944581890153,""
"Alan Wright",1971,20,305,294,26277,292,5,24,5,0,0.01712524260760361,0.01712524260760361,0.08220116451649732,0.09932640712410093,""
"Alassane Ouédraogo",1980,19,3,0,37,0.4,0,0,0,0,0,0,0,0,""
"Alassane Pléa",1993,19,232,187,16609,184.5,68,35,66,2,0.368474923234391,0.357637425492203,0.18965621048828948,0.5472936359804925,""
"Alassane Sidibe",2002,18,1,0,6,0.1,0,0,0,0,0,0,0,0,""
"Alassane També",1992,22,6,2,143,1.6,0,0,0,0,0,0,0,0,""
"Alassane Touré",1989,20,26,21,1964,21.9,1,0,1,0,0.045824847250509164,0.045824847250509164,0,0.045824847250509164,""
"Alban Joinel",1979,28,1,1,90,1,0,0,0,0,0,0,0,0,"*"
"Alban Lafont",1999,16,223,223,20009,222.3,0,0,0,0,0,0,0,0,""
"Alban Meha",1986,28,18,13,1221,13.6,3,0,2,1,0.22113022113022113,0.14742014742014742,0,0.14742014742014742,"*"
"Albano Bizzarri",1977,21,306,306,27408,304.5,0,0,0,0,0,0,0,0,""
"Albert Adomah",1987,28,2,1,122,1.4,0,0,0,0,0,0,0,0,"*"
"Albert Baning",1985,21,20,9,886,9.8,1,0,1,0,0.10158013544018057,0.10158013544018057,0,0.10158013544018057,""
"Albert Bunjaku",1983,25,48,31,2950,32.8,13,1,13,0,0.3966101694915254,0.3966101694915254,0.030508474576271188,0.4271186440677966,""
"Albert Cano López",1983,20,2,1,118,1.3,0,0,0,0,0,0,0,0,""
"Albert Celades",1975,22,195,128,11850,131.7,9,4,9,0,0.06835443037974684,0.06835443037974684,0.030379746835443037,0.09873417721518987,""
"Albert Crusat",1982,20,151,123,10535,117.1,15,19,15,0,0.12814428096820124,0.12814428096820124,0.1623160892263882,0.2904603701945895,""
"Albert Ferrer",1970,28,76,71,6176,68.6,0,5,0,0,0,0,0.07286269430051813,0.07286269430051813,"*"
"Albert Guðmundsson",1997,18,3,2,192,2.1,0,0,0,0,0,0,0,0,""
"Albert Jarrett",1984,21,1,0,19,0.2,0,0,0,0,0,0,0,0,""
"Albert Jorquera",1979,24,7,7,630,7,0,0,0,0,0,0,0,0,""
"Albert Lottin",2001,16,3,1,67,0.7,0,0,0,0,0,0,0,0,""
"Albert Luque",1978,20,268,160,14490,161,63,29,61,2,0.391304347826087,0.37888198757763975,0.18012422360248448,0.5590062111801242,""
"Albert Meyong",1980,25,12,4,425,4.699999999999999,1,0,1,0,0.2117647058823529,0.2117647058823529,0,0.2117647058823529,""
"Albert Nađ",1974,23,46,39,3395,37.6,1,0,1,0,0.026509572901325478,0.026509572901325478,0,0.026509572901325478,""
"Albert Rafetraniaina",1996,15,27,13,1130,12.5,0,0,0,0,0,0,0,0,""
"Albert Riera",1982,18,224,185,15536,172.7,22,22,21,1,0.12744593202883625,0.1216529351184346,0.12744593202883625,0.24909886714727086,""
"Albert Sambi Lokonga",1999,18,14,10,909,10.1,0,0,0,0,0,0,0,0,""
"Albert Serrán",1984,22,3,3,184,2,0,0,0,0,0,0,0,0,""
"Albert Streit",1980,20,118,89,8222,91.5,11,22,11,0,0.12040865969350523,0.12040865969350523,0.24081731938701045,0.3612259790805157,""
"Albert Yagüe",1985,20,1,0,2,0,0,0,0,0,0,0,0,0,""
"Alberth Elis",1996,18,16,13,1164,12.9,9,1,9,0,0.6958762886597938,0.6958762886597938,0.07731958762886598,0.7731958762886597,""
